London,-,-,2.41,2.42
Severn,1.19,1.31,1.36,1.68
Oxford,1.44,1.41,1.25,1.42
West Mids Central,1.45,1.30,1.37,1.35
North West England,1.03,1.17,1.23,1.35
Scotland,0.99,0.90,0.95,1.00
Northern Ireland,0.78,0.85,0.94,0.66
East of England,0.53,0.56,0.49,0.47
Yorks & Humber,0.78,0.83,0.50,0.71
KSS,-,-,0.50,0.63
LNR,0.55,0.56,0.65,0.53
Northern,0.89,0.79,0.95,0.82
Peninsula,0.95,0.82,0.64,0.65
Trent,0.65,0.54,0.53,0.50
Wales,0.60,0.52,0.60,0.57
Wessex,0.74,0.72,0.68,0.51
West Mids North,0.41,0.40,0.36,0.39
West Mids South,0.57,0.50,0.51,0.45
